,NIP,Cl_T
154,N201500660,3
155,N201500989,0
156,N201501780,2
157,N201501838,3
158,N201502590,0
159,N201502656,0
160,N201502664,2
161,N201502685,0
162,N201502877,1
163,N201503003,0
164,N201503063,2
165,N201503259,0
166,N201503772,1
167,N201503922,0
168,N201503990,3
169,N201504281,0
170,N201504323,3
171,N201504689,3
172,N201504734,3
173,N201505285,3
174,N201505841,2
175,N201506332,1
176,N201506622,2
177,N201506765,0
178,N201506798,3
179,N201506900,0
180,N201507075,2
181,N201600360,1
182,N201600522,2
183,N201600638,1
184,N201600746,2
185,N201600921,1
186,N201601079,3
187,N201601477,3
188,N201601495,2
189,N201601533,2
190,N201601545,2
191,N201601947,0
192,N201602132,3
193,N201602241,0
194,N201602601,2
195,N201602880,0
196,N201602884,0
197,N201602984,2
198,N201603181,0
199,N201603355,0
200,N201604050,0
201,N201604116,0
202,N201604178,0
203,N201604425,0
204,N201604693,3
205,N201604744,0
206,N201604865,1
207,N201605319,0
208,N201605504,0
209,N201605563,0
210,N201605830,0
211,N201606340,0
212,N201606342,2
213,N201606455,0
214,N201700156,2
215,N201700487,0
216,N201700726,3
217,N201700901,3
218,N201701045,3
219,N201701530,0
220,N201701652,0
221,N201702058,3
222,N201702085,1
223,N201702120,3
224,N201702618,3
225,N201702654,3
226,N201702758,3
227,N201702935,0
228,N201703472,0
229,N201703570,2
230,N201703729,2
231,N201703896,0
232,N201703918,3
233,N201704012,0
234,N201704212,0
235,N201704292,0
236,N201704399,2
237,N201704685,3
238,N201704974,0
239,N201705029,0
240,N201705121,3
241,N201705133,3
242,N201705187,1
243,N201705512,2
244,N201705694,0
245,N201705921,3
246,N201706024,0
247,N201706031,3
248,N201706065,0
249,N201706141,3
250,N201706142,0
251,N201706288,0
252,N201706483,3
253,N201706490,1
254,N201706511,0
255,N201706598,0
256,N201706823,0
257,N201706982,2
258,N201706998,2
259,N201707096,0
260,N201707102,3
261,N201707219,0
262,N201707224,3
263,N201707227,3
264,N201800012,0
265,N201800053,2
266,N201800055,3
267,N201800109,3
268,N201800152,3
269,N201800199,3
