,Cl_T4,Cl_T4_NIP_Count,Cl_T4_Mean_dist_Variance
0,0,97,0.12575032149551454
1,1,175,0.01342893266093914
2,2,1,
3,3,188,0.01841207486088153
4,4,132,0.05107362358116646
