,NIP,Cl_T1
155,N201500989,4
156,N201501780,0
157,N201501838,3
158,N201502590,4
159,N201502656,4
160,N201502664,0
161,N201502685,4
162,N201502877,1
163,N201503003,4
164,N201503063,0
165,N201503259,4
166,N201503772,1
167,N201503922,4
168,N201503990,3
169,N201504281,4
170,N201504323,3
171,N201504689,3
172,N201504734,3
173,N201505285,3
174,N201505841,0
175,N201506332,1
176,N201506622,0
177,N201506765,4
178,N201506798,3
179,N201506900,4
180,N201507075,0
181,N201600360,1
182,N201600522,0
183,N201600638,1
184,N201600746,0
185,N201600921,1
186,N201601079,3
187,N201601477,3
188,N201601495,0
189,N201601533,0
190,N201601545,0
191,N201601947,4
192,N201602132,3
193,N201602241,4
194,N201602601,0
195,N201602880,4
196,N201602884,4
197,N201602984,0
198,N201603181,4
199,N201603355,4
200,N201604050,4
201,N201604116,4
202,N201604178,4
203,N201604425,4
204,N201604693,3
205,N201604744,4
206,N201604865,1
207,N201605319,4
208,N201605504,4
209,N201605563,4
210,N201605830,4
211,N201606340,4
212,N201606342,0
213,N201606455,4
214,N201700156,0
215,N201700487,4
216,N201700726,3
217,N201700901,3
218,N201701045,3
219,N201701530,4
220,N201701652,4
221,N201702058,3
222,N201702085,1
223,N201702120,3
224,N201702618,3
225,N201702654,3
226,N201702758,3
227,N201702935,4
228,N201703472,4
229,N201703570,0
230,N201703729,0
231,N201703896,4
232,N201703918,3
233,N201704012,4
234,N201704212,4
235,N201704292,4
236,N201704399,0
237,N201704685,3
238,N201704974,4
239,N201705029,4
240,N201705121,3
241,N201705133,3
242,N201705187,1
243,N201705512,0
244,N201705694,4
245,N201705921,3
246,N201706024,4
247,N201706031,3
248,N201706065,4
249,N201706141,3
250,N201706142,4
251,N201706288,4
252,N201706483,3
253,N201706490,1
254,N201706511,4
255,N201706598,4
256,N201706823,4
257,N201706982,0
258,N201706998,0
259,N201707096,4
260,N201707102,3
261,N201707219,4
262,N201707224,3
263,N201707227,3
264,N201800012,4
265,N201800053,0
266,N201800055,3
267,N201800109,3
268,N201800152,3
269,N201800199,3
270,N201800517,3
271,N201800626,4
272,N201800742,3
273,N201800768,4
274,N201800808,4
275,N201800865,4
276,N201800916,3
277,N201801031,0
278,N201801047,3
279,N201801154,4
280,N201801296,3
281,N201801309,3
282,N201801322,3
283,N201801356,4
284,N201801449,4
285,N201801450,4
286,N201801472,4
287,N201801476,4
288,N201801509,4
289,N201801517,4
290,N201801535,4
291,N201801651,3
292,N201801668,4
293,N201801710,4
294,N201801734,4
295,N201801746,4
296,N201801774,3
297,N201801798,4
298,N201801840,4
299,N201801854,4
300,N201801864,4
301,N201801868,4
302,N201801916,4
303,N201801956,0
304,N201801958,4
305,N201801960,4
306,N201801987,4
307,N201802002,4
308,N201802083,4
309,N201802127,4
310,N201802143,4
311,N201802158,4
312,N201802212,4
313,N201802258,3
314,N201802263,3
315,N201802324,3
316,N201802363,4
317,N201802410,4
318,N201802424,4
319,N201802506,4
320,N201802518,4
321,N201802529,0
322,N201802532,4
323,N201802542,3
324,N201802598,3
325,N201802626,0
326,N201802653,4
327,N201802676,4
328,N201802694,4
329,N201802708,3
330,N201802729,4
331,N201802777,4
332,N201802856,3
333,N201802863,4
334,N201802894,4
335,N201802929,4
336,N201802938,3
337,N201802947,3
338,N201803028,4
339,N201803073,3
340,N201803145,3
341,N201803187,4
342,N201803204,4
343,N201803255,4
344,N201803283,4
345,N201803298,3
346,N201803347,3
347,N201803415,4
348,N201803419,4
349,N201803420,0
350,N201803436,3
351,N201803450,4
352,N201803452,3
353,N201803465,4
354,N201803500,3
355,N201803561,4
356,N201803567,4
357,N201803632,4
358,N201803635,4
359,N201803645,3
360,N201803672,4
361,N201803679,4
362,N201803684,4
363,N201803721,4
364,N201803763,4
365,N201803770,3
366,N201803775,3
367,N201803788,4
368,N201803799,0
369,N201803804,4
370,N201803826,1
371,N201803896,4
372,N201803904,1
373,N201803976,3
374,N201803999,1
375,N201804085,3
376,N201804104,1
377,N201804119,1
378,N201804153,1
379,N201804171,1
380,N201804215,4
381,N201804221,1
382,N201804229,1
383,N201804317,0
384,N201804329,1
385,N201804362,1
386,N201804388,3
387,N201804398,1
388,N201804400,3
389,N201804401,1
390,N201804420,3
391,N201804565,1
392,N201804566,1
393,N201804570,1
394,N201804586,1
395,N201804618,1
396,N201804632,1
397,N201804637,1
398,N201804656,0
399,N201804663,3
400,N201804681,1
401,N201804697,1
402,N201804723,1
403,N201804738,3
404,N201804739,1
405,N201804761,1
406,N201804767,1
407,N201804871,1
408,N201804914,1
409,N201804923,3
410,N201804955,1
411,N201804956,1
412,N201804973,1
413,N201805059,1
414,N201805065,1
415,N201805100,1
416,N201805109,3
417,N201805111,1
418,N201805117,1
419,N201805127,1
420,N201805132,3
421,N201805133,1
422,N201805166,1
423,N201805169,1
424,N201805195,3
425,N201805196,1
426,N201805209,1
427,N201805242,1
428,N201805250,1
429,N201805251,1
430,N201805263,3
431,N201805272,1
432,N201805284,3
433,N201805285,3
434,N201805301,0
435,N201805304,1
436,N201805313,1
437,N201805343,1
438,N201805357,0
439,N201805364,1
440,N201805448,1
441,N201805463,1
442,N201805471,0
443,N201805486,1
444,N201805499,1
445,N201805502,1
446,N201805561,1
447,N201805579,1
448,N201805589,1
449,N201805591,1
450,N201805647,0
451,N201805723,1
452,N201805724,1
453,N201805745,1
454,N201805746,1
455,N201805750,1
456,N201805760,1
457,N201805782,1
458,N201805787,1
459,N201805789,1
460,N201805831,1
461,N201805880,1
462,N201805884,3
463,N201805900,1
464,N201805928,1
465,N201805931,1
466,N201805934,3
467,N201805939,3
468,N201805962,0
469,N201805966,1
470,N201805973,3
471,N201805992,1
472,N201806034,1
473,N201806047,3
474,N201806067,1
475,N201806070,1
476,N201806114,0
477,N201806116,1
478,N201806148,1
479,N201806159,3
480,N201806174,1
481,N201806183,1
482,N201806193,1
483,N201806197,1
484,N201806241,1
485,N201806254,1
486,N201806256,1
487,N201806271,0
488,N201806283,1
489,N201806287,1
490,N201806295,1
491,N201806314,3
492,N201806335,1
493,N201806343,3
494,N201806345,3
495,N201806365,3
496,N201806370,3
497,N201806407,1
498,N201806418,0
499,N201806419,1
500,N201806425,1
501,N201806433,1
502,N201806441,1
503,N201806442,1
504,N201806459,1
505,N201806465,3
506,N201806478,1
507,N201806479,1
508,N201806486,3
509,N201806488,1
510,N201806491,1
511,N201806496,1
512,N201806500,1
513,N201806507,1
514,N201806512,1
515,N201806524,1
516,N201806528,0
517,N201806548,3
518,N201806561,1
519,N201806566,3
520,N201806567,1
521,N201806569,1
522,N201806582,3
523,N201806586,1
524,N201806589,1
525,N201806591,1
526,N201806595,1
527,N201806601,1
528,N201806606,3
529,N201806627,1
530,N201806628,1
531,N201806643,0
532,N201806679,1
