,Cl_T3,Cl_T3_NIP_Count,Cl_T3_Mean_dist_Variance
0,0,175,0.01342893266093914
1,1,97,0.12575032149551454
2,2,1,
3,3,132,0.05107362358116646
4,4,188,0.01841207486088153
