,Cl_P7,Cl_P7_NIP_Count,Cl_P7_Mean_dist_Variance
0,0,40,0.7090945869721798
1,1,235,0.013339751211330448
2,2,238,0.042312571962569726
3,3,80,0.06197213437849301
