,Cl_P1,Cl_P1_NIP_Count,Cl_P1_Mean_dist_Variance
0,0,416,0.011619374941314873
1,1,22,0.7963995914488048
2,2,105,0.09624589436960694
3,3,50,0.1376871155386213
