,Cl_Parcours1,Cl_Parcours1_NIP_Count,Cl_Parcours1_Mean_dist_Variance
0,0,552,0.001288855917081536
1,1,277,0.09569310985750865
2,2,120,0.074120801753711
3,3,9,0.791140042984072
