,Cl_P1,Cl_P1_NIP_Count,Cl_P1_Mean_dist_Variance
0,0,50,0.13768711553862162
1,1,417,0.010961769003653468
2,2,104,0.11879916078598973
3,3,22,0.7963995914488048
