,Cl_T1,Cl_T1_NIP_Count,Cl_T1_Mean_dist_Variance
0,0,97,0.12575032149551454
1,1,188,0.01841207486088153
2,2,132,0.05107362358116646
3,3,1,
4,4,175,0.01342893266093914
