,NIP,Cl_T1
298,N201801840,4
299,N201801854,4
300,N201801864,4
301,N201801868,4
302,N201801916,4
303,N201801956,3
304,N201801958,4
305,N201801960,4
306,N201801987,4
307,N201802002,4
308,N201802083,4
309,N201802127,4
310,N201802143,4
311,N201802158,4
312,N201802212,4
313,N201802258,1
314,N201802263,1
315,N201802324,1
316,N201802363,4
317,N201802410,4
318,N201802424,4
319,N201802506,4
320,N201802518,4
321,N201802529,3
322,N201802532,4
323,N201802542,1
324,N201802598,1
325,N201802626,3
326,N201802653,4
327,N201802676,4
328,N201802694,4
329,N201802708,1
330,N201802729,4
331,N201802777,4
332,N201802856,1
333,N201802863,4
334,N201802894,4
335,N201802929,4
336,N201802938,1
337,N201802947,1
338,N201803028,4
339,N201803073,1
340,N201803145,1
341,N201803187,4
342,N201803204,4
343,N201803255,4
344,N201803283,4
345,N201803298,1
346,N201803347,1
347,N201803415,4
348,N201803419,4
349,N201803420,3
350,N201803436,1
351,N201803450,4
352,N201803452,1
353,N201803465,4
354,N201803500,1
355,N201803561,4
356,N201803567,4
357,N201803632,4
358,N201803635,4
359,N201803645,1
360,N201803672,4
361,N201803679,4
362,N201803684,4
363,N201803721,4
364,N201803763,4
365,N201803770,1
366,N201803775,1
367,N201803788,4
368,N201803799,3
369,N201803804,4
370,N201803826,0
371,N201803896,4
372,N201803904,0
373,N201803976,1
374,N201803999,0
375,N201804085,1
376,N201804104,0
377,N201804119,0
378,N201804153,0
379,N201804171,0
380,N201804215,4
381,N201804221,0
382,N201804229,0
383,N201804317,3
384,N201804329,0
385,N201804362,0
386,N201804388,1
387,N201804398,0
388,N201804400,1
389,N201804401,0
390,N201804420,1
391,N201804565,0
392,N201804566,0
393,N201804570,0
394,N201804586,0
395,N201804618,0
396,N201804632,0
397,N201804637,0
398,N201804656,3
399,N201804663,1
400,N201804681,0
401,N201804697,0
402,N201804723,0
403,N201804738,1
404,N201804739,0
405,N201804761,0
406,N201804767,0
407,N201804871,0
408,N201804914,0
409,N201804923,1
410,N201804955,0
411,N201804956,0
412,N201804973,0
413,N201805059,0
414,N201805065,0
415,N201805100,0
416,N201805109,1
417,N201805111,0
418,N201805117,0
419,N201805127,0
420,N201805132,1
421,N201805133,0
422,N201805166,0
423,N201805169,0
424,N201805195,1
425,N201805196,0
426,N201805209,0
427,N201805242,0
428,N201805250,0
429,N201805251,0
430,N201805263,1
431,N201805272,0
432,N201805284,1
433,N201805285,1
434,N201805301,3
435,N201805304,0
436,N201805313,0
437,N201805343,0
438,N201805357,3
439,N201805364,0
440,N201805448,0
441,N201805463,0
442,N201805471,3
443,N201805486,0
444,N201805499,0
445,N201805502,0
446,N201805561,0
447,N201805579,0
448,N201805589,0
449,N201805591,0
450,N201805647,3
451,N201805723,0
452,N201805724,0
453,N201805745,0
454,N201805746,0
455,N201805750,0
456,N201805760,0
457,N201805782,0
458,N201805787,0
459,N201805789,0
460,N201805831,0
461,N201805880,0
462,N201805884,1
463,N201805900,0
464,N201805928,0
465,N201805931,0
466,N201805934,1
467,N201805939,1
468,N201805962,3
469,N201805966,0
470,N201805973,1
471,N201805992,0
472,N201806034,0
473,N201806047,1
474,N201806067,0
475,N201806070,0
476,N201806114,3
477,N201806116,0
478,N201806148,0
479,N201806159,1
480,N201806174,0
481,N201806183,0
482,N201806193,0
483,N201806197,0
484,N201806241,0
485,N201806254,0
486,N201806256,0
487,N201806271,3
488,N201806283,0
