,Cl_T1,Cl_T1_NIP_Count,Cl_T1_Mean_dist_Variance
0,0,188,0.01841207486088153
1,1,175,0.01342893266093914
2,2,97,0.12575032149551454
3,3,132,0.05107362358116646
4,4,1,
