,NIP,Cl_T1
244,N201705694,1
245,N201705921,3
246,N201706024,1
247,N201706031,3
248,N201706065,1
249,N201706141,3
250,N201706142,1
251,N201706288,1
252,N201706483,3
253,N201706490,0
254,N201706511,1
255,N201706598,1
256,N201706823,1
257,N201706982,2
258,N201706998,2
259,N201707096,1
260,N201707102,3
261,N201707219,1
262,N201707224,3
263,N201707227,3
264,N201800012,1
265,N201800053,2
266,N201800055,3
267,N201800109,3
268,N201800152,3
269,N201800199,3
270,N201800517,3
271,N201800626,1
272,N201800742,3
273,N201800768,1
274,N201800808,1
275,N201800865,1
276,N201800916,3
277,N201801031,2
278,N201801047,3
279,N201801154,1
280,N201801296,3
281,N201801309,3
282,N201801322,3
283,N201801356,1
284,N201801449,1
285,N201801450,1
286,N201801472,1
287,N201801476,1
288,N201801509,1
289,N201801517,1
290,N201801535,1
291,N201801651,3
292,N201801668,1
293,N201801710,1
294,N201801734,1
295,N201801746,1
296,N201801774,3
297,N201801798,1
298,N201801840,1
299,N201801854,1
300,N201801864,1
301,N201801868,1
302,N201801916,1
303,N201801956,2
304,N201801958,1
305,N201801960,1
306,N201801987,1
307,N201802002,1
308,N201802083,1
309,N201802127,1
310,N201802143,1
311,N201802158,1
312,N201802212,1
313,N201802258,3
314,N201802263,3
315,N201802324,3
316,N201802363,1
317,N201802410,1
318,N201802424,1
319,N201802506,1
320,N201802518,1
321,N201802529,2
322,N201802532,1
323,N201802542,3
324,N201802598,3
325,N201802626,2
326,N201802653,1
327,N201802676,1
328,N201802694,1
329,N201802708,3
330,N201802729,1
331,N201802777,1
332,N201802856,3
333,N201802863,1
334,N201802894,1
335,N201802929,1
336,N201802938,3
337,N201802947,3
338,N201803028,1
339,N201803073,3
340,N201803145,3
341,N201803187,1
342,N201803204,1
343,N201803255,1
344,N201803283,1
345,N201803298,3
346,N201803347,3
347,N201803415,1
348,N201803419,1
349,N201803420,2
350,N201803436,3
351,N201803450,1
352,N201803452,3
353,N201803465,1
354,N201803500,3
355,N201803561,1
356,N201803567,1
357,N201803632,1
358,N201803635,1
359,N201803645,3
360,N201803672,1
361,N201803679,1
362,N201803684,1
363,N201803721,1
364,N201803763,1
365,N201803770,3
366,N201803775,3
367,N201803788,1
368,N201803799,2
369,N201803804,1
370,N201803826,0
371,N201803896,1
372,N201803904,0
373,N201803976,3
374,N201803999,0
375,N201804085,3
376,N201804104,0
377,N201804119,0
378,N201804153,0
379,N201804171,0
380,N201804215,1
381,N201804221,0
382,N201804229,0
383,N201804317,2
384,N201804329,0
385,N201804362,0
386,N201804388,3
387,N201804398,0
388,N201804400,3
389,N201804401,0
390,N201804420,3
391,N201804565,0
392,N201804566,0
393,N201804570,0
394,N201804586,0
395,N201804618,0
396,N201804632,0
397,N201804637,0
398,N201804656,2
399,N201804663,3
400,N201804681,0
401,N201804697,0
402,N201804723,0
403,N201804738,3
404,N201804739,0
405,N201804761,0
406,N201804767,0
407,N201804871,0
408,N201804914,0
409,N201804923,3
410,N201804955,0
411,N201804956,0
412,N201804973,0
413,N201805059,0
414,N201805065,0
415,N201805100,0
416,N201805109,3
417,N201805111,0
418,N201805117,0
419,N201805127,0
420,N201805132,3
421,N201805133,0
422,N201805166,0
423,N201805169,0
424,N201805195,3
425,N201805196,0
426,N201805209,0
427,N201805242,0
428,N201805250,0
429,N201805251,0
430,N201805263,3
431,N201805272,0
432,N201805284,3
433,N201805285,3
434,N201805301,2
435,N201805304,0
436,N201805313,0
437,N201805343,0
438,N201805357,2
439,N201805364,0
440,N201805448,0
441,N201805463,0
442,N201805471,2
443,N201805486,0
444,N201805499,0
445,N201805502,0
446,N201805561,0
447,N201805579,0
448,N201805589,0
449,N201805591,0
450,N201805647,2
451,N201805723,0
452,N201805724,0
453,N201805745,0
454,N201805746,0
455,N201805750,0
456,N201805760,0
457,N201805782,0
458,N201805787,0
459,N201805789,0
460,N201805831,0
461,N201805880,0
462,N201805884,3
463,N201805900,0
464,N201805928,0
465,N201805931,0
466,N201805934,3
467,N201805939,3
468,N201805962,2
469,N201805966,0
470,N201805973,3
471,N201805992,0
472,N201806034,0
473,N201806047,3
474,N201806067,0
475,N201806070,0
476,N201806114,2
477,N201806116,0
478,N201806148,0
479,N201806159,3
480,N201806174,0
481,N201806183,0
482,N201806193,0
483,N201806197,0
484,N201806241,0
485,N201806254,0
486,N201806256,0
487,N201806271,2
488,N201806283,0
489,N201806287,0
490,N201806295,0
491,N201806314,3
492,N201806335,0
493,N201806343,3
