,NIP,Cl_T
232,N201703918,4
233,N201704012,0
234,N201704212,0
235,N201704292,0
236,N201704399,1
237,N201704685,4
238,N201704974,0
239,N201705029,0
240,N201705121,4
241,N201705133,4
242,N201705187,2
243,N201705512,1
244,N201705694,0
245,N201705921,4
246,N201706024,0
247,N201706031,4
248,N201706065,0
249,N201706141,4
250,N201706142,0
251,N201706288,0
252,N201706483,4
253,N201706490,2
254,N201706511,0
255,N201706598,0
256,N201706823,0
257,N201706982,1
258,N201706998,1
259,N201707096,0
260,N201707102,4
261,N201707219,0
262,N201707224,4
263,N201707227,4
264,N201800012,0
265,N201800053,1
266,N201800055,4
267,N201800109,4
268,N201800152,4
269,N201800199,4
270,N201800517,4
271,N201800626,0
272,N201800742,4
273,N201800768,0
274,N201800808,0
275,N201800865,0
276,N201800916,4
277,N201801031,1
278,N201801047,4
279,N201801154,0
280,N201801296,4
281,N201801309,4
282,N201801322,4
283,N201801356,0
284,N201801449,0
285,N201801450,0
286,N201801472,0
287,N201801476,0
288,N201801509,0
289,N201801517,0
290,N201801535,0
291,N201801651,4
292,N201801668,0
293,N201801710,0
294,N201801734,0
295,N201801746,0
296,N201801774,4
297,N201801798,0
298,N201801840,0
299,N201801854,0
300,N201801864,0
301,N201801868,0
302,N201801916,0
303,N201801956,1
304,N201801958,0
305,N201801960,0
306,N201801987,0
307,N201802002,0
308,N201802083,0
309,N201802127,0
310,N201802143,0
311,N201802158,0
312,N201802212,0
313,N201802258,4
314,N201802263,4
315,N201802324,4
316,N201802363,0
317,N201802410,0
318,N201802424,0
319,N201802506,0
320,N201802518,0
321,N201802529,1
322,N201802532,0
323,N201802542,4
324,N201802598,4
325,N201802626,1
326,N201802653,0
327,N201802676,0
328,N201802694,0
329,N201802708,4
330,N201802729,0
331,N201802777,0
332,N201802856,4
333,N201802863,0
334,N201802894,0
335,N201802929,0
336,N201802938,4
337,N201802947,4
338,N201803028,0
339,N201803073,4
340,N201803145,4
341,N201803187,0
342,N201803204,0
343,N201803255,0
344,N201803283,0
345,N201803298,4
346,N201803347,4
347,N201803415,0
348,N201803419,0
349,N201803420,1
350,N201803436,4
351,N201803450,0
352,N201803452,4
353,N201803465,0
354,N201803500,4
355,N201803561,0
356,N201803567,0
357,N201803632,0
358,N201803635,0
359,N201803645,4
360,N201803672,0
361,N201803679,0
362,N201803684,0
363,N201803721,0
364,N201803763,0
365,N201803770,4
366,N201803775,4
367,N201803788,0
368,N201803799,1
369,N201803804,0
370,N201803826,2
371,N201803896,0
372,N201803904,2
373,N201803976,4
374,N201803999,2
375,N201804085,4
376,N201804104,2
377,N201804119,2
378,N201804153,2
379,N201804171,2
380,N201804215,0
381,N201804221,2
382,N201804229,2
383,N201804317,1
384,N201804329,2
385,N201804362,2
386,N201804388,4
387,N201804398,2
388,N201804400,4
389,N201804401,2
390,N201804420,4
391,N201804565,2
392,N201804566,2
393,N201804570,2
394,N201804586,2
395,N201804618,2
396,N201804632,2
397,N201804637,2
398,N201804656,1
399,N201804663,4
400,N201804681,2
401,N201804697,2
402,N201804723,2
403,N201804738,4
404,N201804739,2
405,N201804761,2
406,N201804767,2
407,N201804871,2
408,N201804914,2
409,N201804923,4
410,N201804955,2
411,N201804956,2
412,N201804973,2
413,N201805059,2
414,N201805065,2
415,N201805100,2
416,N201805109,4
417,N201805111,2
418,N201805117,2
419,N201805127,2
420,N201805132,4
421,N201805133,2
422,N201805166,2
423,N201805169,2
424,N201805195,4
425,N201805196,2
426,N201805209,2
427,N201805242,2
428,N201805250,2
429,N201805251,2
430,N201805263,4
431,N201805272,2
432,N201805284,4
433,N201805285,4
434,N201805301,1
435,N201805304,2
436,N201805313,2
437,N201805343,2
438,N201805357,1
439,N201805364,2
440,N201805448,2
441,N201805463,2
442,N201805471,1
443,N201805486,2
444,N201805499,2
445,N201805502,2
446,N201805561,2
447,N201805579,2
448,N201805589,2
449,N201805591,2
450,N201805647,1
451,N201805723,2
452,N201805724,2
453,N201805745,2
454,N201805746,2
455,N201805750,2
456,N201805760,2
457,N201805782,2
458,N201805787,2
459,N201805789,2
460,N201805831,2
461,N201805880,2
462,N201805884,4
463,N201805900,2
464,N201805928,2
465,N201805931,2
466,N201805934,4
467,N201805939,4
468,N201805962,1
469,N201805966,2
470,N201805973,4
471,N201805992,2
472,N201806034,2
473,N201806047,4
474,N201806067,2
475,N201806070,2
476,N201806114,1
477,N201806116,2
478,N201806148,2
479,N201806159,4
