,Cl_P1,Cl_P1_NIP_Count,Cl_P1_Mean_dist_Variance
0,0,22,0.7963995914487937
1,1,418,0.013038788097960127
2,2,105,0.10316833126616118
3,3,48,0.1305820484077409
