,NIP,Cl_T
354,N201500989,5
355,N201501000,5
356,N201501680,5
357,N201501685,2
358,N201501780,4
359,N201501828,0
360,N201501838,5
361,N201502403,0
362,N201502433,2
363,N201502590,0
364,N201502608,5
365,N201502656,0
366,N201502664,4
367,N201502685,0
368,N201502761,0
369,N201502816,0
370,N201502877,1
371,N201503003,0
372,N201503005,0
373,N201503063,4
374,N201503079,0
375,N201503259,0
376,N201503276,0
377,N201503290,0
378,N201503480,0
379,N201503587,4
380,N201503772,1
381,N201503922,0
382,N201503946,0
383,N201503990,5
384,N201504019,0
385,N201504059,5
386,N201504157,4
387,N201504209,4
388,N201504281,0
389,N201504323,5
390,N201504609,5
391,N201504689,5
392,N201504699,0
393,N201504734,5
394,N201504869,0
395,N201505251,0
396,N201505285,5
397,N201505396,4
398,N201505403,4
399,N201505424,0
400,N201505459,4
401,N201505473,0
402,N201505539,0
403,N201505757,0
404,N201505841,4
405,N201505939,5
406,N201505996,0
407,N201506292,4
408,N201506332,1
409,N201506622,4
410,N201506720,1
411,N201506765,0
412,N201506798,5
413,N201506850,0
414,N201506900,0
415,N201507075,4
416,N201507158,2
417,N201600106,4
418,N201600339,0
419,N201600360,1
420,N201600522,4
421,N201600568,2
422,N201600593,0
423,N201600638,1
424,N201600746,4
425,N201600921,1
426,N201601044,4
427,N201601079,5
428,N201601143,4
429,N201601193,0
430,N201601334,5
431,N201601414,5
432,N201601477,5
433,N201601495,4
434,N201601533,4
435,N201601545,4
436,N201601580,5
437,N201601632,0
438,N201601699,0
439,N201601725,0
440,N201601749,0
441,N201601947,0
442,N201602001,4
443,N201602132,5
444,N201602241,0
445,N201602255,1
446,N201602351,5
447,N201602410,0
448,N201602437,5
449,N201602438,4
450,N201602601,4
451,N201602690,0
452,N201602829,4
453,N201602880,0
454,N201602884,0
455,N201602947,0
456,N201602978,4
457,N201602984,2
458,N201603059,0
459,N201603181,0
460,N201603355,0
461,N201603432,4
462,N201604050,0
463,N201604116,0
464,N201604178,0
465,N201604379,0
466,N201604424,4
467,N201604425,0
468,N201604466,4
469,N201604693,5
470,N201604744,0
471,N201604865,1
472,N201604900,0
473,N201605319,0
474,N201605504,0
475,N201605558,0
476,N201605563,0
477,N201605571,5
478,N201605613,4
479,N201605653,0
480,N201605700,5
481,N201605814,5
482,N201605830,0
483,N201605997,4
484,N201606026,5
485,N201606140,0
486,N201606233,5
487,N201606239,4
488,N201606262,4
489,N201606277,0
490,N201606340,0
491,N201606342,4
492,N201606455,0
493,N201606838,5
494,N201606896,0
495,N201607001,4
496,N201700027,4
497,N201700132,4
498,N201700156,4
499,N201700195,4
500,N201700263,2
501,N201700324,4
502,N201700487,0
503,N201700699,4
504,N201700726,5
505,N201700788,4
506,N201700809,5
507,N201700829,5
508,N201700888,0
509,N201700901,5
510,N201701045,5
511,N201701219,5
512,N201701289,0
513,N201701403,5
514,N201701408,0
515,N201701489,5
516,N201701493,2
517,N201701530,0
518,N201701589,5
519,N201701652,0
520,N201701834,0
521,N201702058,5
522,N201702085,1
523,N201702120,5
524,N201702132,5
525,N201702326,4
526,N201702363,4
527,N201702444,5
528,N201702503,0
529,N201702512,0
530,N201702513,5
531,N201702572,5
532,N201702618,5
533,N201702643,0
534,N201702654,5
535,N201702665,4
536,N201702738,0
537,N201702758,5
538,N201702804,5
539,N201702891,0
540,N201702935,0
541,N201703039,4
542,N201703055,0
543,N201703309,4
544,N201703312,0
545,N201703467,0
546,N201703472,0
547,N201703505,0
548,N201703570,4
549,N201703575,5
550,N201703607,5
551,N201703625,4
552,N201703646,5
553,N201703729,4
554,N201703896,0
555,N201703918,5
556,N201704012,0
557,N201704034,5
558,N201704130,5
559,N201704212,0
560,N201704292,0
561,N201704386,5
562,N201704390,0
563,N201704399,4
564,N201704429,5
565,N201704556,0
566,N201704660,5
567,N201704685,5
568,N201704797,5
569,N201704922,0
570,N201704974,0
571,N201705029,0
572,N201705121,5
573,N201705133,5
574,N201705136,5
575,N201705137,0
576,N201705163,5
577,N201705187,1
