,Cl_T,Cl_T_NIP_Count,Cl_T_Mean_dist_Variance
0,0,350,0.011220556895555445
1,1,339,0.02010076365137676
2,2,103,0.03998106192456208
3,3,1,
4,4,143,0.03918315450495272
5,5,265,0.047680826066236894
