,NIP,Cl_T
354,N201500989,2
355,N201501000,2
356,N201501680,2
357,N201501685,0
358,N201501780,3
359,N201501828,1
360,N201501838,2
361,N201502403,1
362,N201502433,0
363,N201502590,1
364,N201502608,2
365,N201502656,1
366,N201502664,3
367,N201502685,1
368,N201502761,1
369,N201502816,1
370,N201502877,5
371,N201503003,1
372,N201503005,1
373,N201503063,3
374,N201503079,1
375,N201503259,1
376,N201503276,1
377,N201503290,1
378,N201503480,1
379,N201503587,3
380,N201503772,5
381,N201503922,1
382,N201503946,1
383,N201503990,2
384,N201504019,1
385,N201504059,2
386,N201504157,3
387,N201504209,3
388,N201504281,1
389,N201504323,2
390,N201504609,2
391,N201504689,2
392,N201504699,1
393,N201504734,2
394,N201504869,1
395,N201505251,1
396,N201505285,2
397,N201505396,3
398,N201505403,3
399,N201505424,1
400,N201505459,3
401,N201505473,1
402,N201505539,1
403,N201505757,1
404,N201505841,3
405,N201505939,2
406,N201505996,1
407,N201506292,3
408,N201506332,5
409,N201506622,3
410,N201506720,5
411,N201506765,1
412,N201506798,2
413,N201506850,1
414,N201506900,1
415,N201507075,3
416,N201507158,0
417,N201600106,3
418,N201600339,1
419,N201600360,5
420,N201600522,3
421,N201600568,0
422,N201600593,1
423,N201600638,5
424,N201600746,3
425,N201600921,5
426,N201601044,3
427,N201601079,2
428,N201601143,3
429,N201601193,1
430,N201601334,2
431,N201601414,2
432,N201601477,2
433,N201601495,3
434,N201601533,3
435,N201601545,3
436,N201601580,2
437,N201601632,1
438,N201601699,1
439,N201601725,1
440,N201601749,1
441,N201601947,1
442,N201602001,3
443,N201602132,2
444,N201602241,1
445,N201602255,5
446,N201602351,2
447,N201602410,1
448,N201602437,2
449,N201602438,3
450,N201602601,3
451,N201602690,1
452,N201602829,3
453,N201602880,1
454,N201602884,1
455,N201602947,1
456,N201602978,3
457,N201602984,0
458,N201603059,1
459,N201603181,1
460,N201603355,1
461,N201603432,3
462,N201604050,1
463,N201604116,1
464,N201604178,1
465,N201604379,1
466,N201604424,3
467,N201604425,1
468,N201604466,3
469,N201604693,2
470,N201604744,1
471,N201604865,5
472,N201604900,1
473,N201605319,1
474,N201605504,1
475,N201605558,1
476,N201605563,1
477,N201605571,2
478,N201605613,3
479,N201605653,1
480,N201605700,2
481,N201605814,2
482,N201605830,1
483,N201605997,3
484,N201606026,2
485,N201606140,1
486,N201606233,2
487,N201606239,3
488,N201606262,3
489,N201606277,1
490,N201606340,1
491,N201606342,3
492,N201606455,1
493,N201606838,2
494,N201606896,1
495,N201607001,3
496,N201700027,3
497,N201700132,3
498,N201700156,3
499,N201700195,3
500,N201700263,0
501,N201700324,3
502,N201700487,1
503,N201700699,3
504,N201700726,2
505,N201700788,3
506,N201700809,2
507,N201700829,2
508,N201700888,1
509,N201700901,2
510,N201701045,2
511,N201701219,2
512,N201701289,1
513,N201701403,2
514,N201701408,1
515,N201701489,2
516,N201701493,0
517,N201701530,1
518,N201701589,2
519,N201701652,1
520,N201701834,1
521,N201702058,2
522,N201702085,5
523,N201702120,2
524,N201702132,2
525,N201702326,3
526,N201702363,3
527,N201702444,2
528,N201702503,1
529,N201702512,1
530,N201702513,2
531,N201702572,2
532,N201702618,2
533,N201702643,1
534,N201702654,2
535,N201702665,3
536,N201702738,1
537,N201702758,2
538,N201702804,2
539,N201702891,1
540,N201702935,1
541,N201703039,3
542,N201703055,1
543,N201703309,3
544,N201703312,1
545,N201703467,1
546,N201703472,1
547,N201703505,1
548,N201703570,3
549,N201703575,2
550,N201703607,2
551,N201703625,3
552,N201703646,2
553,N201703729,3
554,N201703896,1
555,N201703918,2
556,N201704012,1
557,N201704034,2
558,N201704130,2
559,N201704212,1
560,N201704292,1
561,N201704386,2
562,N201704390,1
563,N201704399,3
564,N201704429,2
565,N201704556,1
566,N201704660,2
567,N201704685,2
568,N201704797,2
569,N201704922,1
570,N201704974,1
571,N201705029,1
572,N201705121,2
573,N201705133,2
574,N201705136,2
575,N201705137,1
576,N201705163,2
577,N201705187,5
578,N201705314,2
579,N201705382,2
580,N201705402,2
581,N201705404,3
582,N201705441,2
583,N201705492,1
584,N201705512,0
585,N201705552,2
586,N201705576,1
587,N201705657,1
588,N201705694,1
589,N201705786,3
590,N201705845,2
591,N201705896,1
592,N201705921,2
593,N201705940,2
594,N201706024,1
595,N201706031,2
596,N201706044,3
597,N201706065,1
598,N201706115,3
599,N201706141,2
600,N201706142,1
