,Cl_T9,Cl_T9_NIP_Count,Cl_T9_Mean_dist_Variance
0,0,188,0.01841207486088153
1,1,97,0.12575032149551454
2,2,175,0.01342893266093914
3,3,1,
4,4,132,0.05107362358116646
