,Cl_P11,Cl_P11_NIP_Count,Cl_P11_Mean_dist_Variance
0,0,354,0.010930546419583019
1,1,14,2.6433986549763215
2,2,143,0.05880875506862107
3,3,82,0.2598577918784327
