,Cl_T1,Cl_T1_NIP_Count,Cl_T1_Mean_dist_Variance
0,0,132,0.05107362358116646
1,1,1,
2,2,188,0.01841207486088153
3,3,175,0.01342893266093914
4,4,97,0.12575032149551454
