,NIP,Cl_T
120,N201304664,1
121,N201304742,0
122,N201304833,3
123,N201304875,3
124,N201305180,0
125,N201305357,1
126,N201305580,0
127,N201305679,3
128,N201305765,1
129,N201306207,0
130,N201306481,3
131,N201307669,1
132,N201400337,1
133,N201400750,1
134,N201400893,3
135,N201401154,3
136,N201401267,1
137,N201401275,3
138,N201402294,3
139,N201402450,0
140,N201402464,3
141,N201402594,1
142,N201402747,0
143,N201402874,3
144,N201403201,0
145,N201403231,1
146,N201403736,1
147,N201403762,1
148,N201403835,1
149,N201403980,1
150,N201404118,1
151,N201405759,1
152,N201407093,1
153,N201500553,3
154,N201500660,0
155,N201500989,1
156,N201501780,3
157,N201501838,0
158,N201502590,1
159,N201502656,1
160,N201502664,3
161,N201502685,1
162,N201502877,4
163,N201503003,1
164,N201503063,3
165,N201503259,1
166,N201503772,4
167,N201503922,1
168,N201503990,0
169,N201504281,1
170,N201504323,0
171,N201504689,0
172,N201504734,0
173,N201505285,0
174,N201505841,3
175,N201506332,4
176,N201506622,3
177,N201506765,1
178,N201506798,0
179,N201506900,1
180,N201507075,3
181,N201600360,4
182,N201600522,3
183,N201600638,4
184,N201600746,3
185,N201600921,4
186,N201601079,0
187,N201601477,0
188,N201601495,3
189,N201601533,3
190,N201601545,3
191,N201601947,1
192,N201602132,0
193,N201602241,1
194,N201602601,3
195,N201602880,1
196,N201602884,1
197,N201602984,3
198,N201603181,1
199,N201603355,1
200,N201604050,1
201,N201604116,1
202,N201604178,1
203,N201604425,1
204,N201604693,0
205,N201604744,1
206,N201604865,4
207,N201605319,1
208,N201605504,1
209,N201605563,1
210,N201605830,1
211,N201606340,1
212,N201606342,3
213,N201606455,1
214,N201700156,3
215,N201700487,1
216,N201700726,0
217,N201700901,0
218,N201701045,0
219,N201701530,1
220,N201701652,1
221,N201702058,0
222,N201702085,4
223,N201702120,0
224,N201702618,0
225,N201702654,0
226,N201702758,0
227,N201702935,1
228,N201703472,1
229,N201703570,3
230,N201703729,3
231,N201703896,1
232,N201703918,0
233,N201704012,1
234,N201704212,1
235,N201704292,1
236,N201704399,3
237,N201704685,0
238,N201704974,1
239,N201705029,1
240,N201705121,0
241,N201705133,0
242,N201705187,4
243,N201705512,3
244,N201705694,1
245,N201705921,0
246,N201706024,1
247,N201706031,0
248,N201706065,1
249,N201706141,0
250,N201706142,1
251,N201706288,1
252,N201706483,0
253,N201706490,4
254,N201706511,1
255,N201706598,1
256,N201706823,1
257,N201706982,3
258,N201706998,3
259,N201707096,1
260,N201707102,0
261,N201707219,1
262,N201707224,0
263,N201707227,0
264,N201800012,1
265,N201800053,3
266,N201800055,0
267,N201800109,0
268,N201800152,0
269,N201800199,0
270,N201800517,0
271,N201800626,1
272,N201800742,0
273,N201800768,1
274,N201800808,1
275,N201800865,1
276,N201800916,0
277,N201801031,3
278,N201801047,0
279,N201801154,1
280,N201801296,0
281,N201801309,0
282,N201801322,0
283,N201801356,1
284,N201801449,1
285,N201801450,1
286,N201801472,1
287,N201801476,1
288,N201801509,1
289,N201801517,1
290,N201801535,1
291,N201801651,0
292,N201801668,1
293,N201801710,1
294,N201801734,1
295,N201801746,1
296,N201801774,0
297,N201801798,1
298,N201801840,1
299,N201801854,1
300,N201801864,1
301,N201801868,1
302,N201801916,1
303,N201801956,3
304,N201801958,1
305,N201801960,1
306,N201801987,1
307,N201802002,1
308,N201802083,1
309,N201802127,1
310,N201802143,1
311,N201802158,1
312,N201802212,1
313,N201802258,0
314,N201802263,0
315,N201802324,0
316,N201802363,1
317,N201802410,1
318,N201802424,1
319,N201802506,1
320,N201802518,1
321,N201802529,3
322,N201802532,1
323,N201802542,0
324,N201802598,0
325,N201802626,3
326,N201802653,1
327,N201802676,1
328,N201802694,1
329,N201802708,0
330,N201802729,1
331,N201802777,1
332,N201802856,0
333,N201802863,1
334,N201802894,1
335,N201802929,1
336,N201802938,0
337,N201802947,0
338,N201803028,1
339,N201803073,0
340,N201803145,0
341,N201803187,1
342,N201803204,1
343,N201803255,1
344,N201803283,1
345,N201803298,0
346,N201803347,0
347,N201803415,1
348,N201803419,1
349,N201803420,3
350,N201803436,0
351,N201803450,1
352,N201803452,0
353,N201803465,1
354,N201803500,0
355,N201803561,1
356,N201803567,1
357,N201803632,1
358,N201803635,1
359,N201803645,0
360,N201803672,1
361,N201803679,1
362,N201803684,1
363,N201803721,1
364,N201803763,1
365,N201803770,0
366,N201803775,0
367,N201803788,1
368,N201803799,3
369,N201803804,1
370,N201803826,4
371,N201803896,1
372,N201803904,4
373,N201803976,0
374,N201803999,4
375,N201804085,0
376,N201804104,4
377,N201804119,4
378,N201804153,4
379,N201804171,4
380,N201804215,1
381,N201804221,4
382,N201804229,4
383,N201804317,3
384,N201804329,4
385,N201804362,4
386,N201804388,0
387,N201804398,4
388,N201804400,0
389,N201804401,4
390,N201804420,0
391,N201804565,4
392,N201804566,4
393,N201804570,4
394,N201804586,4
395,N201804618,4
396,N201804632,4
397,N201804637,4
398,N201804656,3
399,N201804663,0
400,N201804681,4
401,N201804697,4
402,N201804723,4
403,N201804738,0
404,N201804739,4
405,N201804761,4
406,N201804767,4
407,N201804871,4
408,N201804914,4
409,N201804923,0
410,N201804955,4
411,N201804956,4
412,N201804973,4
413,N201805059,4
414,N201805065,4
415,N201805100,4
416,N201805109,0
417,N201805111,4
418,N201805117,4
419,N201805127,4
420,N201805132,0
421,N201805133,4
422,N201805166,4
423,N201805169,4
424,N201805195,0
425,N201805196,4
426,N201805209,4
427,N201805242,4
428,N201805250,4
429,N201805251,4
430,N201805263,0
431,N201805272,4
432,N201805284,0
433,N201805285,0
434,N201805301,3
435,N201805304,4
436,N201805313,4
437,N201805343,4
438,N201805357,3
439,N201805364,4
440,N201805448,4
441,N201805463,4
442,N201805471,3
443,N201805486,4
444,N201805499,4
445,N201805502,4
446,N201805561,4
447,N201805579,4
448,N201805589,4
449,N201805591,4
450,N201805647,3
451,N201805723,4
452,N201805724,4
453,N201805745,4
454,N201805746,4
455,N201805750,4
456,N201805760,4
457,N201805782,4
458,N201805787,4
459,N201805789,4
460,N201805831,4
461,N201805880,4
462,N201805884,0
463,N201805900,4
464,N201805928,4
465,N201805931,4
466,N201805934,0
467,N201805939,0
468,N201805962,3
469,N201805966,4
470,N201805973,0
471,N201805992,4
472,N201806034,4
473,N201806047,0
474,N201806067,4
475,N201806070,4
476,N201806114,3
477,N201806116,4
478,N201806148,4
479,N201806159,0
480,N201806174,4
481,N201806183,4
482,N201806193,4
483,N201806197,4
484,N201806241,4
485,N201806254,4
486,N201806256,4
487,N201806271,3
488,N201806283,4
489,N201806287,4
490,N201806295,4
491,N201806314,0
492,N201806335,4
493,N201806343,0
494,N201806345,0
495,N201806365,0
496,N201806370,0
497,N201806407,4
498,N201806418,3
499,N201806419,4
500,N201806425,4
501,N201806433,4
502,N201806441,4
503,N201806442,4
504,N201806459,4
505,N201806465,0
506,N201806478,4
507,N201806479,4
508,N201806486,0
509,N201806488,4
510,N201806491,4
511,N201806496,4
512,N201806500,4
513,N201806507,4
514,N201806512,4
515,N201806524,4
516,N201806528,3
517,N201806548,0
518,N201806561,4
519,N201806566,0
520,N201806567,4
521,N201806569,4
522,N201806582,0
523,N201806586,4
524,N201806589,4
525,N201806591,4
526,N201806595,4
527,N201806601,4
528,N201806606,0
529,N201806627,4
530,N201806628,4
531,N201806643,3
532,N201806679,4
533,N201806682,4
534,N201806690,4
535,N201806717,0
536,N201806718,4
537,N201806731,3
538,N201806746,0
539,N201806753,4
540,N201806789,4
541,N201806798,4
542,N201806805,4
543,N201806854,4
544,N201806883,4
545,N201806902,0
546,N201806908,4
547,N201806931,4
548,N201806940,4
549,N201806946,0
550,N201807023,0
551,N201807030,2
552,N201807036,4
553,N201807038,4
554,N201807048,4
555,N201807061,4
556,N201807064,4
557,N201807068,3
558,N201807105,0
559,N201807130,4
560,N201807157,4
561,N201807177,4
562,N201807179,4
563,N201807197,4
564,N201807215,4
565,N201807220,4
566,N201807288,4
567,N201807295,3
568,N201807316,3
569,N201807350,3
570,N201807368,4
571,N201807376,0
572,N201807410,4
573,N201807435,4
574,N201807436,4
575,N201807452,0
576,N201900001,3
577,N201900002,4
578,N201900003,3
579,N201900004,4
580,N201900005,3
581,N201900006,4
582,N201900007,0
583,N201900008,3
584,N201900009,3
585,N201900010,3
586,N201900011,3
587,N201900012,3
588,N201900013,3
589,N201900014,3
590,N201900015,4
591,N201900016,4
592,N201900017,4
