,NIP,Cl_T1
543,N201806854,3
544,N201806883,3
545,N201806902,0
546,N201806908,3
547,N201806931,3
548,N201806940,3
549,N201806946,0
550,N201807023,0
551,N201807030,2
552,N201807036,3
553,N201807038,3
554,N201807048,3
555,N201807061,3
556,N201807064,3
557,N201807068,4
558,N201807105,0
559,N201807130,3
560,N201807157,3
561,N201807177,3
562,N201807179,3
563,N201807197,3
564,N201807215,3
565,N201807220,3
566,N201807288,3
567,N201807295,4
568,N201807316,4
569,N201807350,4
570,N201807368,3
571,N201807376,0
572,N201807410,3
573,N201807435,3
574,N201807436,3
575,N201807452,0
576,N201900001,4
577,N201900002,3
578,N201900003,4
579,N201900004,3
580,N201900005,4
581,N201900006,3
582,N201900007,0
583,N201900008,4
584,N201900009,4
585,N201900010,4
586,N201900011,4
587,N201900012,4
588,N201900013,4
589,N201900014,4
590,N201900015,3
591,N201900016,3
592,N201900017,3
