,NIP,Cl_T3
354,N201803500,2
355,N201803561,0
356,N201803567,0
357,N201803632,0
358,N201803635,0
359,N201803645,2
360,N201803672,0
361,N201803679,0
362,N201803684,0
363,N201803721,0
364,N201803763,0
365,N201803770,2
366,N201803775,2
367,N201803788,0
368,N201803799,3
369,N201803804,0
370,N201803826,4
371,N201803896,0
372,N201803904,4
373,N201803976,2
374,N201803999,4
375,N201804085,2
376,N201804104,4
377,N201804119,4
378,N201804153,4
379,N201804171,4
380,N201804215,0
381,N201804221,4
382,N201804229,4
383,N201804317,3
384,N201804329,4
385,N201804362,4
386,N201804388,2
387,N201804398,4
388,N201804400,2
389,N201804401,4
390,N201804420,2
391,N201804565,4
392,N201804566,4
393,N201804570,4
394,N201804586,4
395,N201804618,4
396,N201804632,4
397,N201804637,4
398,N201804656,3
399,N201804663,2
400,N201804681,4
401,N201804697,4
402,N201804723,4
403,N201804738,2
404,N201804739,4
405,N201804761,4
406,N201804767,4
407,N201804871,4
408,N201804914,4
409,N201804923,2
410,N201804955,4
411,N201804956,4
412,N201804973,4
413,N201805059,4
414,N201805065,4
415,N201805100,4
416,N201805109,2
417,N201805111,4
418,N201805117,4
419,N201805127,4
420,N201805132,2
421,N201805133,4
422,N201805166,4
423,N201805169,4
424,N201805195,2
425,N201805196,4
426,N201805209,4
427,N201805242,4
428,N201805250,4
429,N201805251,4
430,N201805263,2
431,N201805272,4
432,N201805284,2
433,N201805285,2
434,N201805301,3
435,N201805304,4
436,N201805313,4
437,N201805343,4
438,N201805357,3
439,N201805364,4
440,N201805448,4
441,N201805463,4
442,N201805471,3
443,N201805486,4
444,N201805499,4
445,N201805502,4
446,N201805561,4
447,N201805579,4
448,N201805589,4
449,N201805591,4
450,N201805647,3
451,N201805723,4
452,N201805724,4
453,N201805745,4
454,N201805746,4
455,N201805750,4
456,N201805760,4
457,N201805782,4
458,N201805787,4
459,N201805789,4
460,N201805831,4
461,N201805880,4
462,N201805884,2
463,N201805900,4
464,N201805928,4
465,N201805931,4
466,N201805934,2
467,N201805939,2
468,N201805962,3
469,N201805966,4
470,N201805973,2
471,N201805992,4
472,N201806034,4
473,N201806047,2
474,N201806067,4
475,N201806070,4
476,N201806114,3
477,N201806116,4
478,N201806148,4
479,N201806159,2
480,N201806174,4
481,N201806183,4
482,N201806193,4
483,N201806197,4
484,N201806241,4
485,N201806254,4
486,N201806256,4
487,N201806271,3
488,N201806283,4
489,N201806287,4
490,N201806295,4
491,N201806314,2
492,N201806335,4
493,N201806343,2
494,N201806345,2
495,N201806365,2
496,N201806370,2
497,N201806407,4
498,N201806418,3
499,N201806419,4
500,N201806425,4
501,N201806433,4
502,N201806441,4
503,N201806442,4
504,N201806459,4
505,N201806465,2
506,N201806478,4
507,N201806479,4
508,N201806486,2
509,N201806488,4
510,N201806491,4
511,N201806496,4
512,N201806500,4
513,N201806507,4
514,N201806512,4
515,N201806524,4
516,N201806528,3
517,N201806548,2
518,N201806561,4
519,N201806566,2
520,N201806567,4
521,N201806569,4
522,N201806582,2
523,N201806586,4
524,N201806589,4
525,N201806591,4
526,N201806595,4
527,N201806601,4
528,N201806606,2
529,N201806627,4
530,N201806628,4
531,N201806643,3
532,N201806679,4
533,N201806682,4
534,N201806690,4
535,N201806717,2
536,N201806718,4
537,N201806731,3
538,N201806746,2
539,N201806753,4
540,N201806789,4
541,N201806798,4
542,N201806805,4
543,N201806854,4
544,N201806883,4
545,N201806902,2
546,N201806908,4
547,N201806931,4
548,N201806940,4
549,N201806946,2
550,N201807023,2
551,N201807030,1
552,N201807036,4
553,N201807038,4
554,N201807048,4
555,N201807061,4
556,N201807064,4
557,N201807068,3
558,N201807105,2
