,Cl_P2,Cl_P2_NIP_Count,Cl_P2_Mean_dist_Variance
0,0,394,0.005294833793906927
1,1,10,0.5378393938146067
2,2,39,0.4370699571847039
3,3,150,0.07348369622473042
