,Cl_T2,Cl_T2_NIP_Count,Cl_T2_Mean_dist_Variance
0,0,188,0.01841207486088153
1,1,175,0.01342893266093914
2,2,1,
3,3,132,0.05107362358116646
4,4,97,0.12575032149551454
