,Cl_T1,Cl_T1_NIP_Count,Cl_T1_Mean_dist_Variance
0,0,283,0.01786302933221833
1,1,124,0.04014771826865682
2,2,206,0.048174939201540166
3,3,1,
4,4,83,0.04214742938564032
5,5,261,0.011865494777175817
