,Cl_T8,Cl_T8_NIP_Count,Cl_T8_Mean_dist_Variance
0,0,132,0.05107362358116646
1,1,175,0.01342893266093914
2,2,97,0.12575032149551454
3,3,188,0.01841207486088153
4,4,1,
