,Cl_P12,Cl_P12_NIP_Count,Cl_P12_Mean_dist_Variance
0,0,166,0.040809817396285634
1,1,341,0.02025433868405129
2,2,65,0.09649290546020078
3,3,21,1.0348751595591872
