,NIP,Cl_T
354,N201900369,4
355,N201900370,0
356,N201900372,4
357,N201900373,4
358,N201900374,0
359,N201900375,3
360,N201900376,4
361,N201900377,4
362,N201900378,4
363,N201900379,3
364,N201900380,4
365,N201900381,4
366,N201900382,0
367,N201900383,0
368,N201900384,3
369,N201900385,0
370,N201900386,4
371,N201900387,4
372,N201900388,4
373,N201900389,4
374,N201900390,4
375,N201900391,4
376,N201900393,3
377,N201900394,0
378,N201900395,2
379,N201900396,4
380,N201900397,0
381,N201900398,4
382,N201900399,0
383,N201900400,0
384,N201900401,0
385,N201900403,0
386,N201900404,0
387,N201900405,0
388,N201900406,0
389,N201900407,4
390,N201900408,0
391,N201900409,3
392,N201900410,4
393,N201900411,4
394,N201900412,0
395,N201900413,5
396,N201900414,4
397,N201900415,4
398,N201900416,4
399,N201900417,0
400,N201900418,3
401,N201900419,0
402,N201900420,0
403,N201900421,0
404,N201900422,0
405,N201900425,3
406,N201900426,4
407,N201900430,3
408,N201900431,4
409,N201900432,4
410,N201900433,0
411,N201900434,4
412,N201900436,4
413,N201900437,4
414,N201900438,4
415,N201900439,3
416,N201900440,4
417,N201900441,0
418,N201900442,4
419,N201900443,4
420,N201900444,0
421,N201900446,4
422,N201900447,4
423,N201900448,0
424,N201900449,0
425,N201900450,0
426,N201900451,0
427,N201900452,4
428,N201900453,0
429,N201900454,4
430,N201900455,4
431,N201900456,4
432,N201900457,3
433,N201900458,4
434,N201900459,4
435,N201900461,3
436,N201900462,0
437,N201900463,4
438,N201900464,4
439,N201900465,4
440,N201900466,4
441,N201900467,4
442,N201900468,0
443,N201900469,0
444,N201900470,4
445,N201900471,0
446,N201900472,4
447,N201900473,4
448,N201900474,4
449,N201900475,3
450,N201900476,0
451,N201900477,3
452,N201900478,3
453,N201900479,4
454,N201900480,4
455,N201900481,4
456,N201900482,3
457,N201900484,4
458,N201900488,4
459,N201900489,0
460,N201900490,4
461,N201900491,0
462,N201900492,3
463,N201900493,3
464,N201900495,3
465,N201900496,3
466,N201900497,0
467,N201900498,0
468,N201900499,0
469,N201900500,4
470,N201900501,4
471,N201900502,4
472,N201900503,4
473,N201900504,4
474,N201900505,4
475,N201900506,0
476,N201900507,0
477,N201900508,4
478,N201900509,3
479,N201900510,4
480,N201900511,4
481,N201900512,4
482,N201900513,4
483,N201900515,4
484,N201900516,4
485,N201900517,4
486,N201900518,4
487,N201900519,4
488,N201900520,4
489,N201900521,0
490,N201900522,4
491,N201900523,3
492,N201900524,4
493,N201900525,0
494,N201900526,4
495,N201900527,4
496,N201900528,4
497,N201900529,3
498,N201900530,4
499,N201900531,0
500,N201900532,4
501,N201900533,4
502,N201900534,4
503,N201900535,3
504,N201900536,0
505,N201900537,4
506,N201900538,4
507,N201900539,4
508,N201900540,4
509,N201900541,0
510,N201900542,3
511,N201900543,4
512,N201900544,4
513,N201900545,0
514,N201900546,0
515,N201900547,0
516,N201900548,0
517,N201900549,4
518,N201900550,0
519,N201900551,0
520,N201900552,4
521,N201900553,4
522,N201900554,4
523,N201900555,0
524,N201900556,0
525,N201900558,4
526,N201900559,4
527,N201900560,4
528,N201900561,4
529,N201900562,4
530,N201900563,4
531,N201900564,0
532,N201900565,0
533,N201900566,4
534,N201900567,0
535,N201900568,3
536,N201900569,3
537,N201900570,0
538,N201900571,4
539,N201900572,4
540,N201900573,0
541,N201900574,4
542,N201900575,4
543,N201900576,4
544,N201900577,0
545,N201900578,3
546,N201900579,0
547,N201900580,0
548,N201900581,4
549,N201900582,0
550,N201900583,0
551,N201900584,4
552,N201900585,0
553,N201900586,4
554,N201900587,4
555,N201900588,4
556,N201900589,4
557,N201900590,4
558,N201900591,4
559,N201900592,0
560,N201900593,4
561,N201900594,4
562,N201900595,0
563,N201900596,0
564,N201900597,0
565,N201900598,3
566,N201900599,3
567,N201900600,0
568,N201900601,4
569,N201900602,3
570,N201900603,3
571,N201900604,0
572,N201900605,4
573,N201900606,4
574,N201900607,0
575,N201900608,3
576,N201900609,0
577,N201900610,4
578,N201900611,4
