,Cl_T1,Cl_T1_NIP_Count,Cl_T1_Mean_dist_Variance
0,0,793,0.03177021309490623
1,1,923,0.009823777477356285
2,2,3,0.00013527045060071632
3,3,595,0.03669912019877626
4,4,733,0.01858909281093885
5,5,630,0.04652048157701339
