,Cl_P10,Cl_P10_NIP_Count,Cl_P10_Mean_dist_Variance
0,0,118,0.0814323751555332
1,1,330,0.015350554294637232
2,2,60,0.1402546502636743
3,3,74,0.05021273932359193
4,4,11,0.8538742148452046
