,NIP,Cl_T3
543,N201806854,4
544,N201806883,4
545,N201806902,3
546,N201806908,4
547,N201806931,4
548,N201806940,4
549,N201806946,3
550,N201807023,3
551,N201807030,2
552,N201807036,4
553,N201807038,4
554,N201807048,4
555,N201807061,4
556,N201807064,4
557,N201807068,1
558,N201807105,3
559,N201807130,4
560,N201807157,4
561,N201807177,4
562,N201807179,4
563,N201807197,4
564,N201807215,4
565,N201807220,4
566,N201807288,4
567,N201807295,1
568,N201807316,1
569,N201807350,1
570,N201807368,4
571,N201807376,3
572,N201807410,4
573,N201807435,4
574,N201807436,4
575,N201807452,3
576,N201900001,1
577,N201900002,4
578,N201900003,1
579,N201900004,4
580,N201900005,1
581,N201900006,4
582,N201900007,3
583,N201900008,1
584,N201900009,1
585,N201900010,1
586,N201900011,1
587,N201900012,1
588,N201900013,1
589,N201900014,1
590,N201900015,4
591,N201900016,4
592,N201900017,4
