,Cl_P1,Cl_P1_NIP_Count,Cl_P1_Mean_dist_Variance
0,0,418,0.01303878809796004
1,1,48,0.1305820484077409
2,2,22,0.7963995914488048
3,3,105,0.10316833126616118
