,NIP,Cl_T1
444,N201805499,3
445,N201805502,3
446,N201805561,3
447,N201805579,3
448,N201805589,3
449,N201805591,3
450,N201805647,0
451,N201805723,3
452,N201805724,3
453,N201805745,3
454,N201805746,3
455,N201805750,3
456,N201805760,3
457,N201805782,3
458,N201805787,3
459,N201805789,3
460,N201805831,3
461,N201805880,3
462,N201805884,1
463,N201805900,3
464,N201805928,3
465,N201805931,3
466,N201805934,1
467,N201805939,1
468,N201805962,0
469,N201805966,3
470,N201805973,1
471,N201805992,3
472,N201806034,3
473,N201806047,1
474,N201806067,3
475,N201806070,3
476,N201806114,0
477,N201806116,3
478,N201806148,3
479,N201806159,1
480,N201806174,3
481,N201806183,3
482,N201806193,3
483,N201806197,3
484,N201806241,3
485,N201806254,3
486,N201806256,3
487,N201806271,0
488,N201806283,3
489,N201806287,3
490,N201806295,3
491,N201806314,1
492,N201806335,3
493,N201806343,1
494,N201806345,1
495,N201806365,1
496,N201806370,1
497,N201806407,3
498,N201806418,0
499,N201806419,3
500,N201806425,3
501,N201806433,3
502,N201806441,3
503,N201806442,3
504,N201806459,3
505,N201806465,1
506,N201806478,3
507,N201806479,3
508,N201806486,1
509,N201806488,3
510,N201806491,3
511,N201806496,3
512,N201806500,3
513,N201806507,3
514,N201806512,3
515,N201806524,3
516,N201806528,0
517,N201806548,1
518,N201806561,3
519,N201806566,1
520,N201806567,3
521,N201806569,3
522,N201806582,1
523,N201806586,3
524,N201806589,3
525,N201806591,3
526,N201806595,3
527,N201806601,3
528,N201806606,1
529,N201806627,3
530,N201806628,3
531,N201806643,0
532,N201806679,3
533,N201806682,3
534,N201806690,3
535,N201806717,1
536,N201806718,3
537,N201806731,0
538,N201806746,1
539,N201806753,3
540,N201806789,3
541,N201806798,3
542,N201806805,3
543,N201806854,3
544,N201806883,3
545,N201806902,1
546,N201806908,3
547,N201806931,3
548,N201806940,3
549,N201806946,1
550,N201807023,1
551,N201807030,2
552,N201807036,3
553,N201807038,3
554,N201807048,3
555,N201807061,3
556,N201807064,3
557,N201807068,0
558,N201807105,1
559,N201807130,3
560,N201807157,3
561,N201807177,3
562,N201807179,3
563,N201807197,3
564,N201807215,3
565,N201807220,3
566,N201807288,3
567,N201807295,0
568,N201807316,0
569,N201807350,0
570,N201807368,3
571,N201807376,1
572,N201807410,3
573,N201807435,3
574,N201807436,3
575,N201807452,1
576,N201900001,0
577,N201900002,3
578,N201900003,0
579,N201900004,3
580,N201900005,0
581,N201900006,3
582,N201900007,1
583,N201900008,0
584,N201900009,0
585,N201900010,0
586,N201900011,0
587,N201900012,0
588,N201900013,0
589,N201900014,0
590,N201900015,3
591,N201900016,3
592,N201900017,3
